ProductKey,EnglishProductName
310,"Road-150 Red, 62"
311,"Road-150 Red, 44"
312,"Road-150 Red, 48"
313,"Road-150 Red, 52"
314,"Road-150 Red, 56"
315,"Road-450 Red, 58"
316,"Road-450 Red, 60"
317,"Road-450 Red, 44"
318,"Road-450 Red, 48"
319,"Road-450 Red, 52"
320,"Road-650 Red, 58"
321,"Road-650 Red, 58"
322,"Road-650 Red, 60"
323,"Road-650 Red, 60"
324,"Road-650 Red, 62"
325,"Road-650 Red, 62"
326,"Road-650 Red, 44"
327,"Road-650 Red, 44"
328,"Road-650 Red, 48"
329,"Road-650 Red, 48"
330,"Road-650 Red, 52"
331,"Road-650 Red, 52"
332,"Road-650 Black, 58"
333,"Road-650 Black, 58"
334,"Road-650 Black, 60"
335,"Road-650 Black, 60"
336,"Road-650 Black, 62"
337,"Road-650 Black, 62"
338,"Road-650 Black, 44"
339,"Road-650 Black, 44"
340,"Road-650 Black, 48"
